Playlist ID	Tilte	Playlist url	Genre	Likes count	Repost count	Track Count	TrackIDs	Creator ID	Creator name	user url
847397585	Basto - Somehow Happy	https://soundcloud.com/beyourselfmusic/sets/basto-somehow-happy	Dance & EDM	2	1.0	1	659507246 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
842664311	Golden Sky - Koh Samui [High Contrast Recodings]	https://soundcloud.com/highcontrastrecordings/sets/golden-sky-koh-samui	Trance	8	3.0	2	658051214 662916662 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
852281573	Peter Luts - One Of These Nights (feat. Forêt)	https://soundcloud.com/beyourselfmusic/sets/peter-luts-one-of-these-nights	Dance & EDM	5	1.0	1	666593336 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
862245893	D-wayne - Rich	https://soundcloud.com/beyourselfmusic/sets/d-wayne-rich	Dance & EDM	0	1.0	1	676596479 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
866649410	Bakermat - Baianá	https://soundcloud.com/beyourselfmusic/sets/bakermat-baiana	Dance & EDM	28	2.0	1	497893788 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
867267143	Basto - I Got You (feat. Nat Conway)	https://soundcloud.com/beyourselfmusic/sets/basto-i-got-you-feat-nat	Dance & EDM	3	1.0	1	674566943 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
885101299	artwrk	https://soundcloud.com/beyourselfmusic/sets/artwrk	House	2	0.0	21	773221336 773221324 750202312 729099814 725235364 725208709 718343842 711138073 693135763 683944657 680620802 673252316 669990476 663464243 663462422 663462356 663454472 660127025 656723921 778325146 801443893 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
891109150	D-wayne - Rich (Club & Sunset Mix)	https://soundcloud.com/beyourselfmusic/sets/d-wayne-rich-club-sunset-mix	Dance & EDM	1	1.0	2	686993041 686993035 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
892022146	Marco V - Simulated (Bas Amro Remix) [In Charge Recordings]	https://soundcloud.com/beyourselfmusic/sets/marco-v-simulated-bas-amro	Techno	3	0.0	1	686469628 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
899415392	Peter Luts - Anybody [Big & Dirty Records]	https://soundcloud.com/biganddirtyrecords/sets/peter-luts-anybody-big-dirty	Dance & EDM	8	5.0	1	690393520 	85326995	Big & Dirty Records	https://soundcloud.com/biganddirtyrecords
